Designator,Mid X,Mid Y,Layer,Rotation
U1,42.7735mm,28.0358mm,top,90.0
U2,48.7267mm,23.1786mm,top,0.0
U3,45.3339mm,22.6866mm,top,270.0
U4,48.5477mm,27.7049mm,top,90.0
U5,42.0479mm,18.8929mm,top,0.0
U6,51.7930mm,23.4245mm,top,90.0
U7,57.3946mm,26.7540mm,top,270.0
Y1,47.8207mm,31.2425mm,top,90.0
D1,24.8559mm,23.3690mm,top,0.0
L1,52.1559mm,20.8963mm,top,180.0
J1,57.1544mm,33.7386mm,top,0.0
J2,56.5234mm,23.2587mm,top,0.0
R1,51.5942mm,19.0832mm,top,0.0
R2,46.0382mm,20.2939mm,top,90.0
C1,46.0392mm,18.1347mm,top,270.0
C2,51.5942mm,25.5118mm,top,0.0
C3,54.3729mm,24.4361mm,top,90.0
C4,48.5516mm,20.2131mm,top,0.0
C5,28.6945mm,25.2939mm,top,90.0
C6,52.5421mm,27.4368mm,top,90.0
