Designator,Mid X,Mid Y,Layer,Rotation
U1,42.7735mm,6.9642mm,top,90.0
U2,48.7267mm,11.8214mm,top,0.0
U3,45.3339mm,12.3134mm,top,270.0
U4,48.5477mm,7.2951mm,top,90.0
U5,42.0479mm,16.1071mm,top,0.0
U6,51.7930mm,11.5755mm,top,90.0
U7,57.3946mm,8.2460mm,top,270.0
Y1,47.8207mm,3.7575mm,top,90.0
D1,24.8559mm,11.6310mm,top,0.0
L1,52.1559mm,14.1037mm,top,180.0
J1,57.1544mm,1.2614mm,top,0.0
J2,56.5234mm,11.7413mm,top,0.0
R1,51.5942mm,15.9168mm,top,0.0
R2,46.0382mm,14.7061mm,top,90.0
C1,46.0392mm,16.8653mm,top,270.0
C2,51.5942mm,9.4882mm,top,0.0
C3,54.3729mm,10.5639mm,top,90.0
C4,48.5516mm,14.7869mm,top,0.0
C5,28.6945mm,9.7061mm,top,90.0
C6,52.5421mm,7.5632mm,top,90.0
